Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,Hashtags,Retweets,Likes,Year,Month,Day,Hour,Annotation
0,0, Enjoying a beautiful day at the park!              , Positive  ,2023-01-15 12:30:00, #Nature #Park                            ,15.0,30.0,2023,1,15,12,0
1,1, Traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, #Traffic #Morning                        ,5.0,10.0,2023,1,15,8,0
2,2, Just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, #Fitness #Workout                        ,20.0,40.0,2023,1,15,15,0
3,3, Excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, #Travel #Adventure                       ,8.0,15.0,2023,1,15,18,0
4,4, Trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, #Cooking #Food                           ,12.0,25.0,2023,1,15,19,0
5,5, Feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, #Gratitude #PositiveVibes              ,25.0,50.0,2023,1,16,9,0
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, #RainyDays #Cozy                         ,10.0,20.0,2023,1,16,14,0
7,7, The new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, #MovieNight #MustWatch                  ,15.0,30.0,2023,1,16,19,0
8,8, Political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, #Politics #Debate                       ,30.0,60.0,2023,1,17,8,0
9,9, Missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, #Summer #BeachDays                      ,18.0,35.0,2023,1,17,12,0
10,10, Just published a new blog post. Check it out!      , Positive  ,2023-01-17 15:15:00, #Blogging #NewPost                      ,22.0,45.0,2023,1,17,15,0
11,11, Feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, #SickDay #Health                        ,7.0,15.0,2023,1,18,10,1
12,12, Exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, #CityExplore #HiddenGems                ,12.0,25.0,2023,1,18,14,0
13,13," New year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, #NewYear #FitnessGoals                  ,28.0,55.0,2023,1,18,18,0
14,14, Technology is changing the way we live.            , Neutral   ,2023-01-19 09:45:00, #Tech #Innovation                       ,15.0,30.0,2023,1,19,9,0
15,15, Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, #Reflection #Future                     ,20.0,40.0,2023,1,19,13,0
16,16, Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, #PetAdoption #FurryFriend               ,15.0,30.0,2023,1,19,17,0
17,17, Late-night gaming session with friends.            , Positive  ,2023-01-20 00:05:00, #Gaming #LateNight                      ,18.0,35.0,2023,1,20,0,0
18,18, Attending a virtual conference on AI.              , Neutral   ,2023-01-20 11:30:00, #AI #TechConference                     ,25.0,50.0,2023,1,20,11,0
19,19, Winter blues got me feeling low.                   , Negative  ,2023-01-20 15:15:00, #WinterBlues #Mood                      ,8.0,15.0,2023,1,20,15,1
20,20, Sipping coffee and enjoying a good book.           , Positive  ,2023-01-21 08:40:00, #Reading #CoffeeTime                    ,22.0,45.0,2023,1,21,8,0
21,21, Exploring the world of virtual reality.            , Positive  ,2023-01-21 13:20:00, #VR #VirtualReality                     ,15.0,30.0,2023,1,21,13,0
22,22, Productive day ticking off my to-do list.          , Positive  ,2023-01-21 16:45:00, #Productivity #WorkFromHome           ,30.0,60.0,2023,1,21,16,0
23,23, Just finished a challenging workout routine.       , Positive  ,2023-01-22 09:15:00, #Fitness #ChallengeAccepted             ,20.0,40.0,2023,1,22,9,0
24,24, Celebrating a milestone at work! 🎉               , Positive  ,2023-01-22 14:30:00, #Career #Milestone                      ,12.0,25.0,2023,1,22,14,0
25,25, Sunday brunch with friends.                        , Positive  ,2023-01-22 12:00:00, #Brunch #Friends                       ,15.0,30.0,2023,1,22,12,0
27,28, Learning a new language for personal growth.       , Positive  ,2023-01-23 16:20:00, #LanguageLearning #PersonalGrowth       ,25.0,50.0,2023,1,23,16,0
28,29, Quiet evening with a good book.                    , Positive  ,2023-01-23 19:45:00, #Reading #QuietTime                     ,15.0,30.0,2023,1,23,19,0
29,30, Reflecting on the importance of mental health.     , Positive  ,2023-01-24 11:30:00, #MentalHealth #SelfCare                 ,22.0,45.0,2023,1,24,11,0
30,31, New painting in progress! 🎨                       , Positive  ,2023-01-24 15:00:00, #Art #PaintingInProgress             ,12.0,25.0,2023,1,24,15,0
31,32, Weekend road trip to explore scenic views.         , Positive  ,2023-01-24 17:30:00, #RoadTrip #ScenicViews                  ,18.0,35.0,2023,1,24,17,0
32,33, Enjoying a cup of tea and watching the sunset.     , Positive  ,2023-01-25 18:00:00, #TeaTime #Sunset                       ,15.0,30.0,2023,1,25,18,0
33,34, Coding a new project with enthusiasm.              , Positive  ,2023-01-25 13:15:00, #Coding #Enthusiasm                   ,30.0,60.0,2023,1,25,13,0
