Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0,Enjoying a beautiful day at the park!,Positive,2023-01-15 12:30:00,User123,Twitter,#Nature #Park,15.0,30.0,USA,2023,1,15,12
1,1,Traffic was terrible this morning.,Negative,2023-01-15 08:45:00,CommuterX,Twitter,#Traffic #Morning,5.0,10.0,Canada,2023,1,15,8
5,5,Feeling grateful for the little things in life.,Positive,2023-01-16 09:10:00,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25.0,50.0,India,2023,1,16,9
8,8,Political discussions heating up on the timeline.,Negative,2023-01-17 08:00:00,DebateTalk,Twitter,#Politics #Debate,30.0,60.0,USA,2023,1,17,8
11,11,Feeling a bit under the weather today.,Negative,2023-01-18 10:30:00,WellnessCheck,Twitter,#SickDay #Health,7.0,15.0,Canada,2023,1,18,10
14,14,Technology is changing the way we live.,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,#Tech #Innovation,15.0,30.0,India,2023,1,19,9
17,17,Late-night gaming session with friends.,Positive,2023-01-20 00:05:00,GamerX,Twitter,#Gaming #LateNight,18.0,35.0,UK,2023,1,20,0
20,20,Sipping coffee and enjoying a good book.,Positive,2023-01-21 08:40:00,Bookworm,Twitter,#Reading #CoffeeTime,22.0,45.0,India,2023,1,21,8
23,23,Just finished a challenging workout routine.,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20.0,40.0,UK,2023,1,22,9
29,30,Reflecting on the importance of mental health.,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22.0,45.0,USA,2023,1,24,11
32,33,Enjoying a cup of tea and watching the sunset.,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15.0,30.0,India,2023,1,25,18
35,36,Winter sports day at the local park.,Positive,2023-01-26 14:20:00,WinterSports,Twitter,#WinterSports #Fun,15.0,30.0,Canada,2023,1,26,14
38,39,Practicing mindfulness with meditation.,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,#Mindfulness #Meditation,15.0,30.0,India,2023,1,27,12
41,42,Planning a garden makeover for spring.,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,#Gardening #Spring,25.0,50.0,USA,2023,1,28,14
44,45,A cozy evening with a good movie.,Positive,2023-01-29 20:20:00,MovieNight,Twitter,#CozyNight #MovieTime,18.0,35.0,Canada,2023,1,29,20
47,48,Attending a virtual reality meetup.,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,#VRMeetup #VirtualReality,28.0,55.0,India,2023,1,30,18
50,51,Feeling optimistic about the week ahead.,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,#Optimism #NewWeek,15.0,30.0,Canada,2023,1,31,16
53,55,Can't believe the injustice happening in our society.,Anger,2023-02-11 09:30:00,SocialJustice,Twitter,#Injustice #Angry,20.0,40.0,Canada,2023,2,11,9
56,58,The state of the world's environment is just disgusting.,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,#Disgust #Environment,18.0,35.0,UK,2023,2,12,18
59,61,Sharing love and positive vibes with everyone! ❤️,Love,2023-02-14 08:30:00,LoveSpreader,Twitter,#Love #SpreadLove,15.0,30.0,Australia,2023,2,14,8
62,64,Admiring the beauty of nature during a peaceful hike.,Admiration,2023-02-15 11:30:00,NatureAdmirer,Twitter,#Admiration #Nature,20.0,40.0,USA,2023,2,15,11
65,67,Disappointed with the service at a local restaurant.,Disappointed,2023-02-16 09:00:00,FoodieGoneWrong,Twitter,#Disappointed #BadService,18.0,35.0,India,2023,2,16,9
68,70,Overflowing with adoration for my adorable pet! 🐾,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter,#Adoration #PetLove,22.0,45.0,UK,2023,2,17,10
71,73,Finding calmness in the midst of a busy day.,Calmness,2023-02-18 09:30:00,ZenMaster,Twitter,#Calmness #PeacefulMind,15.0,30.0,India,2023,2,18,9
74,76,Kindness witnessed today restored my faith in humanity.,Kind,2023-02-19 11:30:00,KindnessPrevails,Twitter,#Kindness #Humanity,20.0,40.0,USA,2023,2,19,11
77,79,Fuming with anger after a heated argument.,Anger,2023-02-20 09:30:00,AngryDebater,Twitter,#Anger #Argument,20.0,40.0,Canada,2023,2,20,9
80,82,The state of corruption in our society is utterly disgusting.,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter,#Disgust #Corruption,18.0,35.0,UK,2023,2,21,18
83,85,Sending love to all my followers on this beautiful day! ❤️,Love,2023-02-23 08:30:00,LoveSender,Twitter,#Love #SpreadLove,15.0,30.0,Australia,2023,2,23,8
86,88,Admiring the dedication of volunteers at a local charity.,Admiration,2023-02-24 11:30:00,CharityAdmirer,Twitter,#Admiration #Volunteers,20.0,40.0,USA,2023,2,24,11
89,91,Disappointed with the lack of progress in a personal project.,Disappointed,2023-02-25 09:00:00,ProjectStruggle,Twitter,#Disappointed #Project,18.0,35.0,India,2023,2,25,9
