Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,country_clean,continent
4,4,Trying out a new recipe for dinner tonight.,Neutral,2023-01-15 19:55:00,ChefCook,Instagram,#Cooking #Food,12.0,25.0,Australia,2023,1,15,19,Australia,Oceania
9,9,Missing summer vibes and beach days.,Neutral,2023-01-17 12:20:00,BeachLover,Facebook,#Summer #BeachDays,18.0,35.0,Australia,2023,1,17,12,Australia,Oceania
28,29,Quiet evening with a good book.,Positive,2023-01-23 19:45:00,BookLover,Instagram,#Reading #QuietTime,15.0,30.0,Australia,2023,1,23,19,Australia,Oceania
48,49,Reflecting on the beauty of nature.,Positive,2023-01-31 10:45:00,NatureLover,Facebook,#Nature #Reflection,15.0,30.0,Australia,2023,1,31,10,Australia,Oceania
59,61,Sharing love and positive vibes with everyone! ❤️,Love,2023-02-14 08:30:00,LoveSpreader,Twitter,#Love #SpreadLove,15.0,30.0,Australia,2023,2,14,8,Australia,Oceania
64,66,Experiencing awe at the breathtaking sunset.,Awe,2023-02-15 20:30:00,AweStruck,Facebook,#Awe #Breathtaking,22.0,45.0,Australia,2023,2,15,20,Australia,Oceania
75,77,Pride in achieving a personal milestone.,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram,#Pride #Milestone,30.0,60.0,Australia,2023,2,19,16,Australia,Oceania
83,85,Sending love to all my followers on this beautiful day! ❤️,Love,2023-02-23 08:30:00,LoveSender,Twitter,#Love #SpreadLove,15.0,30.0,Australia,2023,2,23,8,Australia,Oceania
88,90,Awe-struck by the beauty of the night sky.,Awe,2023-02-24 20:30:00,Stargazer,Facebook,#Awe #StarryNight,22.0,45.0,Australia,2023,2,24,20,Australia,Oceania
93,95,Anticipating the release of a much-awaited movie.,Anticipation,2023-02-26 07:30:00,MovieBuff2,Instagram,#Anticipation #MovieRelease,20.0,40.0,Australia,2023,2,26,7,Australia,Oceania
101,103,Reflecting on the beauty of diversity in our world.,Acceptance,2023-03-01 10:45:00,DiversityLover,Twitter,#Acceptance #Diversity,22.0,45.0,Australia,2023,3,1,10,Australia,Oceania
114,116,Overflowing with gratitude for life's blessings.,Gratitude,2012-11-25 10:00:00,ThankfulHeart,Instagram,#Gratitude #Blessed,30.0,60.0,Australia,2012,11,25,10,Australia,Oceania
119,121,Arousal of excitement as I await a special announcement.,Arousal,2017-10-30 11:30:00,ExcitementFan,Twitter,#Arousal #Excitement,20.0,40.0,Australia,2017,10,30,11,Australia,Oceania
125,127,Contentment in the simplicity of a quiet Sunday.,Contentment,2010-08-15 10:00:00,SimpleJoys,Twitter,#Contentment #SundayMood,30.0,60.0,Australia,2010,8,15,10,Australia,Oceania
132,134,Arousal of excitement for an upcoming adventure.,Arousal,2017-04-30 11:30:00,AdventureAwaits,Instagram,#Arousal #AdventureTime,20.0,40.0,Australia,2017,4,30,11,Australia,Oceania
144,146,Compassion shown through acts of kindness in the community.,Compassion,2019-01-15 14:50:00,KindnessInAction,Instagram,#Compassion #CommunityKindness,18.0,35.0,Australia,2019,1,15,14,Australia,Oceania
149,151,Reverence for the historical significance of a landmark.,Reverence,2017-11-01 15:30:00,HistoryBuff,Twitter,#Reverence #HistoricalSite,18.0,35.0,Australia,2017,11,1,15,Australia,Oceania
154,156,Gratitude for the small joys that each day brings.,Gratitude,2012-03-30 11:20:00,JoyfulHeart2,Facebook,#Gratitude #SmallJoys,15.0,30.0,Australia,2012,3,30,11,Australia,Oceania
160,162,Enthusiasm for a DIY home improvement project.,Enthusiasm,2018-04-15 16:00:00,DIYEnthusiast,Facebook,#Enthusiasm #HomeImprovement,15.0,30.0,Australia,2018,4,15,16,Australia,Oceania
168,170,Resentment building up over past betrayals.,Resentment,2018-05-22 14:45:00,BitterHeart,Instagram,#Resentment #Bitterness,7.0,15.0,Australia,2018,5,22,14,Australia,Oceania
173,175,Helplessness sinks in as challenges pile up.,Helplessness,2020-06-20 14:20:00,OverwhelmedHeart,Twitter,#Helplessness #Overwhelmed,8.0,15.0,Australia,2020,6,20,14,Australia,Oceania
181,183,"Resentment festers, poisoning relationships.",Resentment,2022-01-15 12:00:00,BrokenTrust,Facebook,#Resentment #BrokenTrust,10.0,20.0,Australia,2022,1,15,12,Australia,Oceania
186,188,"Helplessness engulfs me, drowning in a sea of problems.",Helplessness,2019-05-08 14:20:00,OverwhelmedSoul,Instagram,#Helplessness #Struggling,8.0,15.0,Australia,2019,5,8,14,Australia,Oceania
192,194,"Loneliness echoes in empty spaces, yearning for connection.",Loneliness,2019-09-12 18:10:00,EchoingSoul,Instagram,#Loneliness #YearningForConnection,15.0,30.0,Australia,2019,9,12,18,Australia,Oceania
201,203,"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",Melancholy,2019-06-18 20:45:00,SunsetDreamer,Instagram,#Melancholy #SunsetMoments,12.0,25.0,Australia,2019,6,18,20,Australia,Oceania
206,208,"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",Serenity,2021-07-03 19:00:00,NatureSoul,Twitter,#Serenity #NatureRetreat,12.0,25.0,Australia,2021,7,3,19,Australia,Oceania
210,212,"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",Numbness,2019-12-28 14:30:00,StoicSoul,Instagram,#Numbness #StoicFacade,8.0,15.0,Australia,2019,12,28,14,Australia,Oceania
