Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,country_clean,continent
3,3,Excited about the upcoming weekend getaway!,Positive,2023-01-15 18:20:00,AdventureX,Facebook,#Travel #Adventure,8.0,15.0,UK,2023,1,15,18,UK,Europe
12,12,Exploring the city's hidden gems.,Positive,2023-01-18 14:50:00,UrbanExplorer,Facebook,#CityExplore #HiddenGems,12.0,25.0,UK,2023,1,18,14,UK,Europe
17,17,Late-night gaming session with friends.,Positive,2023-01-20 00:05:00,GamerX,Twitter,#Gaming #LateNight,18.0,35.0,UK,2023,1,20,0,UK,Europe
23,23,Just finished a challenging workout routine.,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,#Fitness #ChallengeAccepted,20.0,40.0,UK,2023,1,22,9,UK,Europe
25,25,Sunday brunch with friends.,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,#Brunch #Friends,15.0,30.0,UK,2023,1,22,12,UK,Europe
31,32,Weekend road trip to explore scenic views.,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,#RoadTrip #ScenicViews,18.0,35.0,UK,2023,1,24,17,UK,Europe
36,37,Quality time with family this weekend.,Positive,2023-01-26 17:40:00,FamilyTime,Facebook,#FamilyTime #Weekend,22.0,45.0,UK,2023,1,26,17,UK,Europe
42,43,Celebrating a friend's birthday tonight! 🎂,Positive,2023-01-28 19:30:00,BirthdayBash,Facebook,#Birthday #Celebration,15.0,30.0,UK,2023,1,28,19,UK,Europe
46,47,New book release from my favorite author!,Positive,2023-01-30 15:45:00,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12.0,25.0,UK,2023,1,30,15,UK,Europe
51,52,Starting a new fitness challenge tomorrow! 💪,Positive,2023-02-01 08:00:00,FitnessChallenge,Facebook,#FitnessChallenge #NewBeginnings,22.0,45.0,UK,2023,2,1,8,UK,Europe
56,58,The state of the world's environment is just disgusting.,Disgust,2023-02-12 18:20:00,EcoAwareness,Twitter,#Disgust #Environment,18.0,35.0,UK,2023,2,12,18,UK,Europe
60,62,An amusing incident brightened up my day!,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,#Amusement #FunTimes,18.0,35.0,UK,2023,2,14,14,UK,Europe
68,70,Overflowing with adoration for my adorable pet! 🐾,Adoration,2023-02-17 10:45:00,PetAdorer,Twitter,#Adoration #PetLove,22.0,45.0,UK,2023,2,17,10,UK,Europe
72,74,Confusion clouds my mind as I navigate through decisions.,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram,#Confusion #DecisionMaking,25.0,50.0,UK,2023,2,18,14,UK,Europe
80,82,The state of corruption in our society is utterly disgusting.,Disgust,2023-02-21 18:20:00,AntiCorruption,Twitter,#Disgust #Corruption,18.0,35.0,UK,2023,2,21,18,UK,Europe
81,83,Overflowing happiness: welcoming a new family member!,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30.0,60.0,UK,2023,2,22,10,UK,Europe
84,86,Amused by the antics of my pet—it's pure amusement!,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram,#Amusement #PetAntics,18.0,35.0,UK,2023,2,23,14,UK,Europe
92,94,Overflowing adoration for a cute rescue puppy! 🐶,Adoration,2023-02-26 10:45:00,PuppyAdmirer,Twitter,#Adoration #PuppyLove,22.0,45.0,UK,2023,2,26,10,UK,Europe
96,98,Confusion reigns as I try to make sense of recent events.,Confusion,2023-02-27 14:20:00,ConfusedMind2,Instagram,#Confusion #MakingSense,25.0,50.0,UK,2023,2,27,14,UK,Europe
99,101,Pride in completing a challenging fitness challenge.,Pride,2023-02-28 16:00:00,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30.0,60.0,UK,2023,2,28,16,UK,Europe
104,106,Calmness prevails as I practice mindfulness.,Calmness,2023-03-02 18:00:00,MindfulMe,Facebook,#Calmness #Mindfulness,15.0,30.0,UK,2023,3,2,18,UK,Europe
109,111,Shame for not being true to my values in a difficult situation.,Shame,2023-03-03 12:00:00,ReflectiveSelf3,Twitter,#Shame #Integrity,15.0,30.0,UK,2023,3,3,12,UK,Europe
113,115,"Meditating by the serene lake, finding inner peace.",Serenity,2022-02-12 18:20:00,ZenMaster2,Twitter,#Serenity #Meditation,18.0,35.0,UK,2022,2,12,18,UK,Europe
116,118,Empowered to make a difference in my community.,Empowerment,2014-09-14 08:30:00,CommunityLeader,Twitter,#Empowerment #Community,15.0,30.0,UK,2014,9,14,8,UK,Europe
118,120,"A moment of tenderness, connecting with loved ones.",Tenderness,2016-02-23 19:45:00,LovingHeart,Facebook,#Tenderness #FamilyTime,25.0,50.0,UK,2016,2,23,19,UK,Europe
122,124,Reverence for the beauty of a historic landmark.,Reverence,2019-11-11 15:00:00,HistoryLover,Twitter,#Reverence #History,18.0,35.0,UK,2019,11,11,15,UK,Europe
126,128,Serenity found in the pages of a favorite book.,Serenity,2011-09-22 19:30:00,BookLover3,Instagram,#Serenity #BookTime,22.0,45.0,UK,2011,9,22,19,UK,Europe
131,133,Tenderness in the warmth of a cozy winter evening.,Tenderness,2016-02-10 19:45:00,WinterWarmth,Twitter,#Tenderness #CozyEvening,25.0,50.0,UK,2016,2,10,19,UK,Europe
135,137,Reverence for the artistry displayed in a museum.,Reverence,2020-11-11 15:00:00,ArtAppreciator,Instagram,#Reverence #ArtAppreciation,18.0,35.0,UK,2020,11,11,15,UK,Europe
