Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,country_clean,continent
5,5,Feeling grateful for the little things in life.,Positive,2023-01-16 09:10:00,GratitudeNow,Twitter,#Gratitude #PositiveVibes,25.0,50.0,India,2023,1,16,9,India,Asia
14,14,Technology is changing the way we live.,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,#Tech #Innovation,15.0,30.0,India,2023,1,19,9,India,Asia
20,20,Sipping coffee and enjoying a good book.,Positive,2023-01-21 08:40:00,Bookworm,Twitter,#Reading #CoffeeTime,22.0,45.0,India,2023,1,21,8,India,Asia
27,28,Learning a new language for personal growth.,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook,#LanguageLearning #PersonalGrowth,25.0,50.0,India,2023,1,23,16,India,Asia
32,33,Enjoying a cup of tea and watching the sunset.,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,#TeaTime #Sunset,15.0,30.0,India,2023,1,25,18,India,Asia
38,39,Practicing mindfulness with meditation.,Positive,2023-01-27 12:30:00,MindfulMoments,Twitter,#Mindfulness #Meditation,15.0,30.0,India,2023,1,27,12,India,Asia
43,44,Feeling accomplished after a productive day.,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,#Accomplished #Success,22.0,45.0,India,2023,1,29,17,India,Asia
47,48,Attending a virtual reality meetup.,Positive,2023-01-30 18:30:00,VRMeetup,Twitter,#VRMeetup #VirtualReality,28.0,55.0,India,2023,1,30,18,India,Asia
55,57,Heartbroken after hearing the news about a natural disaster.,Sadness,2023-02-12 14:45:00,EmpathyFirst,Facebook,#Sadness #NaturalDisaster,25.0,50.0,India,2023,2,12,14,India,Asia
65,67,Disappointed with the service at a local restaurant.,Disappointed,2023-02-16 09:00:00,FoodieGoneWrong,Twitter,#Disappointed #BadService,18.0,35.0,India,2023,2,16,9,India,Asia
71,73,Finding calmness in the midst of a busy day.,Calmness,2023-02-18 09:30:00,ZenMaster,Twitter,#Calmness #PeacefulMind,15.0,30.0,India,2023,2,18,9,India,Asia
76,78,A moment of shame for not standing up against injustice.,Shame,2023-02-19 19:45:00,ReflectiveSelf,Facebook,#Shame #Injustice,15.0,30.0,India,2023,2,19,19,India,Asia
79,81,Heartfelt sadness after bidding farewell to a dear friend.,Sadness,2023-02-21 14:45:00,FarewellHeart,Facebook,#Sadness #Farewell,25.0,50.0,India,2023,2,21,14,India,Asia
89,91,Disappointed with the lack of progress in a personal project.,Disappointed,2023-02-25 09:00:00,ProjectStruggle,Twitter,#Disappointed #Project,18.0,35.0,India,2023,2,25,9,India,Asia
