Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,country_clean,continent
0,0,Enjoying a beautiful day at the park!,Positive,2023-01-15 12:30:00,User123,Twitter,#Nature #Park,15.0,30.0,USA,2023,1,15,12,USA,America
1,1,Traffic was terrible this morning.,Negative,2023-01-15 08:45:00,CommuterX,Twitter,#Traffic #Morning,5.0,10.0,Canada,2023,1,15,8,Canada,America
2,2,Just finished an amazing workout! 💪,Positive,2023-01-15 15:45:00,FitnessFan,Instagram,#Fitness #Workout,20.0,40.0,USA,2023,1,15,15,USA,America
6,6,Rainy days call for cozy blankets and hot cocoa.,Positive,2023-01-16 14:45:00,RainyDays,Facebook,#RainyDays #Cozy,10.0,20.0,Canada,2023,1,16,14,Canada,America
7,7,The new movie release is a must-watch!,Positive,2023-01-16 19:30:00,MovieBuff,Instagram,#MovieNight #MustWatch,15.0,30.0,USA,2023,1,16,19,USA,America
8,8,Political discussions heating up on the timeline.,Negative,2023-01-17 08:00:00,DebateTalk,Twitter,#Politics #Debate,30.0,60.0,USA,2023,1,17,8,USA,America
10,10,Just published a new blog post. Check it out!,Positive,2023-01-17 15:15:00,BloggerX,Instagram,#Blogging #NewPost,22.0,45.0,USA,2023,1,17,15,USA,America
11,11,Feeling a bit under the weather today.,Negative,2023-01-18 10:30:00,WellnessCheck,Twitter,#SickDay #Health,7.0,15.0,Canada,2023,1,18,10,Canada,America
13,13,"New year, new fitness goals! 💪",Positive,2023-01-18 18:00:00,FitJourney,Instagram,#NewYear #FitnessGoals,28.0,55.0,USA,2023,1,18,18,USA,America
15,15,Reflecting on the past and looking ahead.,Positive,2023-01-19 13:20:00,Reflections,Facebook,#Reflection #Future,20.0,40.0,USA,2023,1,19,13,USA,America
16,16,Just adopted a cute furry friend! 🐾,Positive,2023-01-19 17:10:00,PetAdopter,Instagram,#PetAdoption #FurryFriend,15.0,30.0,Canada,2023,1,19,17,Canada,America
18,18,Attending a virtual conference on AI.,Neutral,2023-01-20 11:30:00,TechConference,Facebook,#AI #TechConference,25.0,50.0,USA,2023,1,20,11,USA,America
19,19,Winter blues got me feeling low.,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,#WinterBlues #Mood,8.0,15.0,USA,2023,1,20,15,USA,America
21,21,Exploring the world of virtual reality.,Positive,2023-01-21 13:20:00,VRExplorer,Facebook,#VR #VirtualReality,15.0,30.0,USA,2023,1,21,13,USA,America
22,22,Productive day ticking off my to-do list.,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,#Productivity #WorkFromHome,30.0,60.0,USA,2023,1,21,16,USA,America
24,24,Celebrating a milestone at work! 🎉,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook,#Career #Milestone,12.0,25.0,Canada,2023,1,22,14,Canada,America
29,30,Reflecting on the importance of mental health.,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,#MentalHealth #SelfCare,22.0,45.0,USA,2023,1,24,11,USA,America
30,31,New painting in progress! 🎨,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook,#Art #PaintingInProgress,12.0,25.0,Canada,2023,1,24,15,Canada,America
33,34,Coding a new project with enthusiasm.,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,#Coding #Enthusiasm,30.0,60.0,USA,2023,1,25,13,USA,America
34,35,Feeling inspired after attending a workshop.,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,#Inspiration #Workshop,25.0,50.0,USA,2023,1,26,9,USA,America
35,36,Winter sports day at the local park.,Positive,2023-01-26 14:20:00,WinterSports,Twitter,#WinterSports #Fun,15.0,30.0,Canada,2023,1,26,14,Canada,America
37,38,Attending a live music concert tonight.,Positive,2023-01-27 20:00:00,MusicLover,Instagram,#Music #ConcertNight,18.0,35.0,USA,2023,1,27,20,USA,America
39,40,Trying out a new dessert recipe.,Positive,2023-01-27 16:10:00,DessertExplorer,Facebook,#Dessert #Cooking,12.0,25.0,Canada,2023,1,27,16,Canada,America
40,41,Excited about the upcoming gaming tournament.,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30.0,60.0,USA,2023,1,28,9,USA,America
41,42,Planning a garden makeover for spring.,Positive,2023-01-28 14:45:00,GardenPlanner,Twitter,#Gardening #Spring,25.0,50.0,USA,2023,1,28,14,USA,America
44,45,A cozy evening with a good movie.,Positive,2023-01-29 20:20:00,MovieNight,Twitter,#CozyNight #MovieTime,18.0,35.0,Canada,2023,1,29,20,Canada,America
45,46,Exploring local art galleries this weekend.,Positive,2023-01-30 11:30:00,ArtExplorer,Facebook,#Art #GalleryExplore,15.0,30.0,USA,2023,1,30,11,USA,America
49,50,Cooking a special dinner for loved ones.,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20.0,40.0,USA,2023,1,31,19,USA,America
50,51,Feeling optimistic about the week ahead.,Positive,2023-01-31 16:20:00,OptimisticMindset,Twitter,#Optimism #NewWeek,15.0,30.0,Canada,2023,1,31,16,Canada,America
52,53,Sunday bike ride through scenic trails.,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18.0,35.0,USA,2023,2,1,13,USA,America
