Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
2,2,Just finished an amazing workout! 💪,Positive,2023-01-15 15:45:00,FitnessFan,Instagram,#Fitness #Workout,20.0,40.0,USA,2023,1,15,15
4,4,Trying out a new recipe for dinner tonight.,Neutral,2023-01-15 19:55:00,ChefCook,Instagram,#Cooking #Food,12.0,25.0,Australia,2023,1,15,19
7,7,The new movie release is a must-watch!,Positive,2023-01-16 19:30:00,MovieBuff,Instagram,#MovieNight #MustWatch,15.0,30.0,USA,2023,1,16,19
10,10,Just published a new blog post. Check it out!,Positive,2023-01-17 15:15:00,BloggerX,Instagram,#Blogging #NewPost,22.0,45.0,USA,2023,1,17,15
13,13,"New year, new fitness goals! 💪",Positive,2023-01-18 18:00:00,FitJourney,Instagram,#NewYear #FitnessGoals,28.0,55.0,USA,2023,1,18,18
16,16,Just adopted a cute furry friend! 🐾,Positive,2023-01-19 17:10:00,PetAdopter,Instagram,#PetAdoption #FurryFriend,15.0,30.0,Canada,2023,1,19,17
19,19,Winter blues got me feeling low.,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,#WinterBlues #Mood,8.0,15.0,USA,2023,1,20,15
22,22,Productive day ticking off my to-do list.,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,#Productivity #WorkFromHome,30.0,60.0,USA,2023,1,21,16
25,25,Sunday brunch with friends.,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,#Brunch #Friends,15.0,30.0,UK,2023,1,22,12
28,29,Quiet evening with a good book.,Positive,2023-01-23 19:45:00,BookLover,Instagram,#Reading #QuietTime,15.0,30.0,Australia,2023,1,23,19
31,32,Weekend road trip to explore scenic views.,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,#RoadTrip #ScenicViews,18.0,35.0,UK,2023,1,24,17
34,35,Feeling inspired after attending a workshop.,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,#Inspiration #Workshop,25.0,50.0,USA,2023,1,26,9
37,38,Attending a live music concert tonight.,Positive,2023-01-27 20:00:00,MusicLover,Instagram,#Music #ConcertNight,18.0,35.0,USA,2023,1,27,20
40,41,Excited about the upcoming gaming tournament.,Positive,2023-01-28 09:00:00,GamingEnthusiast,Instagram,#Gaming #Tournament,30.0,60.0,USA,2023,1,28,9
43,44,Feeling accomplished after a productive day.,Positive,2023-01-29 17:00:00,ProductivityWin,Instagram,#Accomplished #Success,22.0,45.0,India,2023,1,29,17
46,47,New book release from my favorite author!,Positive,2023-01-30 15:45:00,BookwormX,Instagram,#BookRelease #FavoriteAuthor,12.0,25.0,UK,2023,1,30,15
49,50,Cooking a special dinner for loved ones.,Positive,2023-01-31 19:00:00,ChefAtHome,Instagram,#Cooking #SpecialDinner,20.0,40.0,USA,2023,1,31,19
52,53,Sunday bike ride through scenic trails.,Positive,2023-02-01 13:30:00,BikeExplorer,Instagram,#BikeRide #ScenicTrails,18.0,35.0,USA,2023,2,1,13
54,56,Feeling a sense of fear after watching a thriller movie.,Fear,2023-02-11 21:15:00,ThrillerFan,Instagram,#Fear #ThrillerMovie,15.0,30.0,USA,2023,2,11,21
57,59,Pure happiness: celebrating a loved one's achievement!,Happiness,2023-02-13 10:00:00,ProudFriend,Instagram,#Happiness #Celebration,30.0,60.0,USA,2023,2,13,10
60,62,An amusing incident brightened up my day!,Amusement,2023-02-14 14:20:00,AmusedSoul,Instagram,#Amusement #FunTimes,18.0,35.0,UK,2023,2,14,14
63,65,Sending affectionate vibes to all my followers!,Affection,2023-02-15 16:00:00,AffectionSender,Instagram,#Affection #PositiveVibes,15.0,30.0,USA,2023,2,15,16
66,68,A surprise gift from a friend made my day!,Surprise,2023-02-16 14:45:00,HappySurprise,Instagram,#Surprise #Gift,25.0,50.0,USA,2023,2,16,14
69,71,Anticipating a thrilling adventure in the coming weeks.,Anticipation,2023-02-17 07:30:00,AdventureAwaits,Instagram,#Anticipation #Adventure,20.0,40.0,USA,2023,2,17,7
72,74,Confusion clouds my mind as I navigate through decisions.,Confusion,2023-02-18 14:20:00,ConfusedMind,Instagram,#Confusion #DecisionMaking,25.0,50.0,UK,2023,2,18,14
75,77,Pride in achieving a personal milestone.,Pride,2023-02-19 16:00:00,PersonalAchiever,Instagram,#Pride #Milestone,30.0,60.0,Australia,2023,2,19,16
78,80,The fear of the unknown is keeping me up at night.,Fear,2023-02-20 21:15:00,FearfulDreamer,Instagram,#Fear #Unknown,15.0,30.0,USA,2023,2,20,21
81,83,Overflowing happiness: welcoming a new family member!,Happiness,2023-02-22 10:00:00,NewParentJoy,Instagram,#Happiness #NewFamilyMember,30.0,60.0,UK,2023,2,22,10
84,86,Amused by the antics of my pet—it's pure amusement!,Amusement,2023-02-23 14:20:00,PetAmuser,Instagram,#Amusement #PetAntics,18.0,35.0,UK,2023,2,23,14
87,89,Sending affectionate vibes to friends and family.,Affection,2023-02-24 16:00:00,FamilyLover,Instagram,#Affection #FamilyLove,15.0,30.0,USA,2023,2,24,16
90,92,A surprise visit from an old friend brought tears of joy.,Surprise,2023-02-25 14:45:00,JoyfulReunion,Instagram,#Surprise #OldFriends,25.0,50.0,USA,2023,2,25,14
93,95,Anticipating the release of a much-awaited movie.,Anticipation,2023-02-26 07:30:00,MovieBuff2,Instagram,#Anticipation #MovieRelease,20.0,40.0,Australia,2023,2,26,7
96,98,Confusion reigns as I try to make sense of recent events.,Confusion,2023-02-27 14:20:00,ConfusedMind2,Instagram,#Confusion #MakingSense,25.0,50.0,UK,2023,2,27,14
99,101,Pride in completing a challenging fitness challenge.,Pride,2023-02-28 16:00:00,FitAchiever,Instagram,#Pride #FitnessChallengeCompleted,30.0,60.0,UK,2023,2,28,16
102,104,Excitement for a quiet evening with a good book.,Excitement,2023-03-01 13:30:00,BookwormJoy,Instagram,#Excitement #BookTime,18.0,35.0,USA,2023,3,1,13
105,107,Confusion surrounds me as I navigate through life's choices.,Confusion,2023-03-02 13:15:00,ConfusedMind3,Instagram,#Confusion #LifeChoices,30.0,60.0,USA,2023,3,2,13
108,110,Pride in accomplishing personal and professional goals.,Pride,2023-03-03 14:30:00,GoalAchiever,Instagram,#Pride #Accomplishments,12.0,25.0,Canada,2023,3,3,14
111,113,The victory of our team brought euphoria to the city.,Euphoria,2021-08-10 21:15:00,SportsFanatic,Instagram,#Euphoria #Victory,15.0,30.0,USA,2021,8,10,21
114,116,Overflowing with gratitude for life's blessings.,Gratitude,2012-11-25 10:00:00,ThankfulHeart,Instagram,#Gratitude #Blessed,30.0,60.0,Australia,2012,11,25,10
117,119,Compassion in action: supporting a local charity event.,Compassion,2015-07-18 14:20:00,CharitySupporter,Instagram,#Compassion #CharityEvent,18.0,35.0,Canada,2015,7,18,14
120,122,Enthusiastically diving into a new project.,Enthusiasm,2018-06-15 16:00:00,ProjectEnthusiast,Instagram,#Enthusiasm #NewProject,15.0,30.0,USA,2018,6,15,16
